Дата отправления;Объем кузова;Станция отправления;Станция назначения;Наименование груза;Станция отправления код;Станция назн. код;Ставка с Заказчиком б/ндс, руб;Отправки УТК, в/о;Длительность
02.10.2022;138;Мальта;Кая;Соль поваренная "Экстра";93170;93280;31920,00;1;
01.10.2022;138;Магнитогорск-Грузовой;Новотроицк;Изделия магнезитовые;81760;81420;57500,00;1;
01.10.2022;138;Шедок;Нальчик;Материалы строительные, кроме железобетонных, не поименованные в алфавите;53590;53790;50000,00;1;
01.10.2022;138;Шедок;Грозный;Плиты и плитки гипсовые;53590;54000;54000,00;1;
02.10.2022;138;Речная;Пашия;Изделия магнезитовые;80670;76700;99231,75;1;
02.10.2022;138;Речная;Пашия;Изделия магнезитовые;80670;76700;99231,75;1;
01.10.2022;138;Шедок;Махачкала;Плиты и плитки гипсовые;53590;54330;56500,00;1;
02.10.2022;138;Татьянка;Новороссийск;Натрия гидроксид (едкий натр, сода каустическая) твердый;61200;52090;67000,00;1;
02.10.2022;138;Татьянка;Новороссийск;Натрия гидроксид (едкий натр, сода каустическая) твердый;61200;52090;67000,00;1;
02.10.2022;138;Татьянка;Новороссийск;Натрия гидроксид (едкий натр, сода каустическая) твердый;61200;52090;67000,00;1;
02.10.2022;138;Источник;Новотроицк;Ферросплавы, не поименованные в алфавите;77500;81420;77083,33;1;
02.10.2022;138;Макат;Дема;Концентрат минеральный "Галит";66110;65000;38000,00;1;
02.10.2022;138;Брест-Центральный (эксп.);Шушары;Цемент гипсоглиноземистый М-300, М-400;13060;03300;90000,00;1;
01.10.2022;138;Красный Гуляй;Каменская;Песок кварцевый, кроме строительного;64460;58720;73333,33;1;
01.10.2022;138;Хырдалан;Успенская;Соль поваренная "Экстра";54670;51090;20000,00;1;
01.10.2022;138;Череповец II;Мурманск;Канаты (тросы) стальные;30250;01840;104166,67;1;
01.10.2022;138;Череповец II;Мурманск;Канаты (тросы) стальные;30250;01840;104166,67;1;
01.10.2022;138;Череповец II;Мурманск;Канаты (тросы) стальные;30250;01840;104166,67;1;
01.10.2022;150;Бокино;Кутузово-Новое;Плиты минераловатные, не поименованные в алфавите;60150;10430;129166,67;1;
02.10.2022;150;Безенчук;Апшерон;Масло подсолнечное;63850;54800;149000,00;1;
02.10.2022;138;Речная;Череповец II;Изделия магнезитовые;80670;30250;121171,59;1;
02.10.2022;138;Макат;Наугольный;Концентрат минеральный "Галит";66110;23660;40000,00;1;
01.10.2022;138;Добруш;Армянск;Взрывчатые материалы;15050;86980;198000,00;1;
01.10.2022;138;Добруш;Армянск;Взрывчатые материалы;15050;86980;198000,00;1;
02.10.2022;138;Макат;Новоярославская;Концентрат минеральный "Галит";66110;31490;45000,00;1;
01.10.2022;150;Шакша;Томск I;Плиты древесностружечные;65530;87390;83333,33;1;
01.10.2022;150;Шакша;Томск I;Плиты древесностружечные;65530;87390;83333,33;1;
01.10.2022;157,2;Шакша;Томск I;Плиты древесностружечные;65530;87390;83333,33;1;
01.10.2022;138;Татьянка;Дзержинская-Новая;Соль поваренная "Экстра";61200;10250;158333,33;1;
01.10.2022;138;Шагол;Абакан;Сборная повагонная отправка;80330;88800;92500,00;1;
01.10.2022;138;Источник;Трубная;Ферросплавы, не поименованные в алфавите;77500;61010;93333,33;1;
02.10.2022;150;Речная;Соломбалка (перев);Изделия кислотоупорные и огнеупорные, не поименованные в алфавите;80670;29200;111733,19;1;
01.10.2022;138;Шарья;Скачки;Плиты древесностружечные;30750;53220;99166,67;1;
01.10.2022;138;Арал Тенизи;Тимашевская;Соль пищевая молотая;67030;51620;45000,00;1;
02.10.2022;138;Лесосибирск;Чита I;Плиты древесноволокнистые;88250;94000;130000,00;1;
01.10.2022;138;Зеленокумск;Гыпджак;Мука пшеничная высшего сорта;53670;75300;125000,00;1;
02.10.2022;138;Учалы;Осиповичи I;Крошка слюдяная;80570;14640;90000,00;1;
01.10.2022;138;Пашия;Гусев;Цемент, не поименованный в алфавите;76700;10070;125000,00;1;
01.10.2022;138;Пашия;Гусев;Цемент, не поименованный в алфавите;76700;10070;125000,00;1;
01.10.2022;138;Пашия;Гусев;Цемент, не поименованный в алфавите;76700;10070;125000,00;1;
