Период отправления;Объем кузова;Станция отправления;Станция назначения;Кол-во;Тариф
01.04.2022;138;Уфа;Нарышево;1;6 448,00
01.04.2022;138;Комсомольск-Мурманский;Ваенга;1;704,00
01.04.2022;138;Тамерлан;Ессаульская;1;7 177,00
01.04.2022;138;Давлеканово;Белорецк;1;9 563,00
01.04.2022;138;Уфа;Салават;1;5 878,00
01.04.2022;138;Чишмы;Косяковка;1;5 143,00
01.04.2022;138;Колодищи;Свислочь (эксп.);1;8 335,80
01.04.2022;150;Котел;Придача;1;4 951,00
01.04.2022;150;Бишкек I;Рубцовск;1;32 960,76
01.04.2022;150;Хабаровск II;Архара;1;12 556,00
01.04.2022;120;Котел;Красивая Меча;1;6 733,00
01.04.2022;138;Коротчаево (СТР);Речная;1;72 659,00
01.04.2022;138;Батарейная;Залари;1;5 652,00
01.04.2022;138;Кант;Поспелиха;1;29 534,20
01.04.2022;138;Клещиха;Иня-Восточная;1;1 068,00
01.04.2022;138;Новый Порт (эксп.);Пустынька;1;1 783,00
01.04.2022;138;Назарбек;Таскудык;1;22 285,22
01.04.2022;138;Назарбек;Таскудык;1;23 673,27
01.04.2022;138;Долбино;Белгород;1;910,00
01.04.2022;138;Карбышево I;Комбинатская;1;1 220,00
01.04.2022;138;Усть-Лабинская;Краснодар-Сортировочный;1;1 730,00
01.04.2022;138;Нахабино;Брянск-Льговский;1;5 143,00
01.04.2022;138;Нахабино;Брянск-Льговский;1;5 143,00
01.04.2022;138;Бугач;Ачинск II;1;4 099,00
01.04.2022;158;Уральск;Жинишке;1;4 304,20
01.04.2022;138;Чишмы;Нарышево;1;5 143,00
01.04.2022;138;Пикалево II;Санкт-Петербург-Сорт.-Московский;1;6 861,00
01.04.2022;138;Аппаратная;Речная;1;7 173,00
01.04.2022;138;Таскудык;Никель;1;9 074,00
01.04.2022;138;Острогожск;Рышково;1;9 662,00
01.04.2022;138;Астрахань I;Татьянка;1;9 930,00
01.04.2022;150;Сумгаит;Дагестанские Огни;1;13 982,20
01.04.2022;150;Сумгаит;Дагестанские Огни;1;13 982,20
01.04.2022;138;Назарбек;Аксенгер (рзд);1;14 154,98
01.04.2022;138;Сороковая;Курган;1;18 164,27
01.04.2022;150;Назарбек;Жинишке;1;18 488,59
01.04.2022;138;Сергели;Жинишке;1;19 010,51
01.04.2022;138;Актобе II;Аксарайская II;1;19 884,17
01.04.2022;138;Назарбек;Достык;1;21 383,23
01.04.2022;138;Низовка;Ярославль-Главный;1;21 710,00
01.04.2022;138;Янгиер;Достык;1;23 567,36
01.04.2022;138;Янгиер;Достык;1;23 567,36
01.04.2022;138;Грозный;Шедок;1;23 614,00
01.04.2022;138;Назарбек;Риддер;1;24 907,44
01.04.2022;138;Грозный;Передовая;1;25 053,00
01.04.2022;150;Хамза;Жинишке;1;25 121,20
